what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321898967296
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321899087512
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1321899087549
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321899088870
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321899268396
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1321899268433
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321899269627
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321899508666
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321899513092
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321899695753
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321899696970
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321899710132
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321899714607
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321899718466
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321899940661
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321899953824
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1321900158399
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321900168625
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1321900216762
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321900218020
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1321900236053
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321900238140
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1321900252130
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1321900253213
